Crime Description,City,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Severity Score
CYBERCRIME,Kolkata,60,M,Explosives,Other Crime,1,No,5
SEXUAL ASSAULT,Pune,10,X,Other,Violent Crime,7,No,9
IDENTITY THEFT,Pune,69,M,Other,Violent Crime,13,No,4
ASSAULT,Delhi,24,X,Knife,Violent Crime,9,No,8
ARSON,Chennai,27,F,Unknown,Fire Accident,1,Yes,9
BURGLARY,Delhi,40,F,Firearm,Other Crime,4,No,6
ILLEGAL POSSESSION,Delhi,48,X,Explosives,Other Crime,6,Yes,5
TRAFFIC VIOLATION,Mumbai,25,X,Blunt Object,Traffic Fatality,17,No,2
ASSAULT,Surat,70,M,Blunt Object,Violent Crime,19,No,8
HOMICIDE,Delhi,57,X,Firearm,Other Crime,8,Yes,10
VANDALISM,Kolkata,68,M,Firearm,Other Crime,10,Yes,3
ROBBERY,Bangalore,56,M,Blunt Object,Violent Crime,4,No,8
SEXUAL ASSAULT,Patna,20,F,Firearm,Violent Crime,16,No,9
FRAUD,Vasai,34,X,Unknown,Other Crime,7,Yes,4
KIDNAPPING,Ghaziabad,76,M,Firearm,Other Crime,7,Yes,9
TRAFFIC VIOLATION,Agra,20,M,Poison,Traffic Fatality,12,Yes,2
EXTORTION,Bangalore,31,F,Blunt Object,Other Crime,19,Yes,7
FIREARM OFFENSE,Varanasi,33,X,Other,Fire Accident,1,No,8
SHOPLIFTING,Bangalore,79,X,Other,Other Crime,5,Yes,2
ARSON,Ghaziabad,52,X,Firearm,Fire Accident,10,Yes,9
ROBBERY,Pune,13,M,Firearm,Violent Crime,3,Yes,8
ILLEGAL POSSESSION,Delhi,52,F,Explosives,Other Crime,11,Yes,5
FRAUD,Lucknow,43,M,Other,Other Crime,6,No,4
HOMICIDE,Delhi,54,M,Explosives,Other Crime,12,Yes,10
ROBBERY,Jaipur,58,X,Blunt Object,Violent Crime,19,Yes,8
FRAUD,Hyderabad,70,X,Other,Other Crime,6,No,4
ARSON,Mumbai,37,X,Other,Fire Accident,9,No,9
FIREARM OFFENSE,Lucknow,45,F,Poison,Fire Accident,6,No,8
FIREARM OFFENSE,Delhi,53,F,Unknown,Fire Accident,12,Yes,8
FIREARM OFFENSE,Nagpur,26,M,Poison,Fire Accident,3,No,8
FIREARM OFFENSE,Jaipur,39,X,Unknown,Fire Accident,11,No,8
FIREARM OFFENSE,Kolkata,56,M,Poison,Fire Accident,2,No,8
IDENTITY THEFT,Srinagar,35,X,Explosives,Violent Crime,14,Yes,4
EXTORTION,Lucknow,61,X,Blunt Object,Other Crime,18,Yes,7
HOMICIDE,Mumbai,37,M,Explosives,Other Crime,15,Yes,10
KIDNAPPING,Mumbai,29,M,Knife,Other Crime,6,Yes,9
TRAFFIC VIOLATION,Rajkot,29,M,Unknown,Traffic Fatality,8,No,2
KIDNAPPING,Chennai,79,F,Other,Other Crime,18,Yes,9
BURGLARY,Bangalore,35,F,Poison,Other Crime,2,No,6
BURGLARY,Delhi,35,M,Firearm,Other Crime,2,No,6
COUNTERFEITING,Hyderabad,68,F,Other,Other Crime,12,Yes,4
TRAFFIC VIOLATION,Ahmedabad,77,M,Blunt Object,Traffic Fatality,4,No,2
DOMESTIC VIOLENCE,Kanpur,77,X,Poison,Violent Crime,11,Yes,8
IDENTITY THEFT,Lucknow,53,F,Unknown,Violent Crime,9,Yes,4
VANDALISM,Nagpur,20,F,Knife,Other Crime,15,No,3
ILLEGAL POSSESSION,Ahmedabad,16,M,Unknown,Other Crime,19,Yes,5
EXTORTION,Lucknow,36,F,Blunt Object,Other Crime,13,Yes,7
CYBERCRIME,Chennai,25,F,Other,Other Crime,14,No,5
SEXUAL ASSAULT,Mumbai,76,X,Knife,Violent Crime,1,Yes,9
ASSAULT,Jaipur,28,F,Explosives,Violent Crime,5,No,8
SHOPLIFTING,Pune,11,M,Unknown,Other Crime,10,Yes,2
ROBBERY,Ahmedabad,39,F,Other,Violent Crime,16,Yes,8
FIREARM OFFENSE,Delhi,73,X,Explosives,Fire Accident,1,Yes,8
ASSAULT,Kalyan,35,M,Other,Violent Crime,6,Yes,8
FRAUD,Surat,10,X,Firearm,Other Crime,2,Yes,4
ARSON,Pune,71,M,Poison,Fire Accident,16,No,9
ARSON,Nagpur,41,X,Other,Fire Accident,17,No,9
ILLEGAL POSSESSION,Nagpur,73,M,Other,Other Crime,6,Yes,5
DOMESTIC VIOLENCE,Delhi,70,X,Knife,Violent Crime,9,Yes,8
PUBLIC INTOXICATION,Kolkata,13,M,Blunt Object,Other Crime,6,No,1
SEXUAL ASSAULT,Ahmedabad,22,F,Poison,Violent Crime,17,No,9
ROBBERY,Mumbai,14,X,Blunt Object,Violent Crime,14,Yes,8
ASSAULT,Pune,66,M,Explosives,Violent Crime,9,No,8
EXTORTION,Bangalore,68,M,Blunt Object,Other Crime,16,No,7
FIREARM OFFENSE,Delhi,51,M,Blunt Object,Fire Accident,4,Yes,8
COUNTERFEITING,Thane,51,M,Firearm,Other Crime,18,Yes,4
HOMICIDE,Bangalore,37,X,Explosives,Other Crime,18,Yes,10
COUNTERFEITING,Chennai,31,M,Blunt Object,Other Crime,3,Yes,4
PUBLIC INTOXICATION,Delhi,17,X,Unknown,Other Crime,9,Yes,1
ROBBERY,Kolkata,32,F,Explosives,Violent Crime,4,Yes,8
DOMESTIC VIOLENCE,Thane,56,M,Unknown,Violent Crime,13,Yes,8
BURGLARY,Delhi,74,X,Explosives,Other Crime,14,No,6
PUBLIC INTOXICATION,Visakhapatnam,16,F,Unknown,Other Crime,5,No,1
COUNTERFEITING,Agra,10,F,Poison,Other Crime,8,Yes,4
BURGLARY,Delhi,35,M,Poison,Other Crime,1,No,6
BURGLARY,Vasai,73,X,Firearm,Other Crime,17,No,6
ASSAULT,Lucknow,49,M,Blunt Object,Violent Crime,7,No,8
SHOPLIFTING,Ghaziabad,69,M,Explosives,Other Crime,18,No,2
VANDALISM,Chennai,59,F,Blunt Object,Other Crime,5,No,3
VEHICLE - STOLEN,Visakhapatnam,48,F,Explosives,Violent Crime,8,Yes,5
ILLEGAL POSSESSION,Delhi,16,X,Blunt Object,Other Crime,1,No,5
SHOPLIFTING,Mumbai,12,M,Firearm,Other Crime,5,Yes,2
KIDNAPPING,Delhi,65,X,Explosives,Other Crime,10,Yes,9
CYBERCRIME,Mumbai,35,X,Firearm,Other Crime,4,No,5
PUBLIC INTOXICATION,Bhopal,16,F,Other,Other Crime,18,No,1
TRAFFIC VIOLATION,Indore,51,M,Blunt Object,Traffic Fatality,13,No,2
IDENTITY THEFT,Hyderabad,72,F,Other,Violent Crime,15,No,4
FIREARM OFFENSE,Delhi,75,X,Firearm,Fire Accident,15,No,8
TRAFFIC VIOLATION,Hyderabad,27,X,Blunt Object,Traffic Fatality,18,Yes,2
TRAFFIC VIOLATION,Nagpur,45,X,Knife,Traffic Fatality,2,No,2
FIREARM OFFENSE,Hyderabad,37,M,Other,Fire Accident,6,No,8
ARSON,Delhi,72,F,Knife,Fire Accident,2,Yes,9
HOMICIDE,Mumbai,12,X,Other,Other Crime,15,No,10
PUBLIC INTOXICATION,Kolkata,65,F,Firearm,Other Crime,2,Yes,1
FRAUD,Vasai,36,F,Firearm,Other Crime,17,Yes,4
SHOPLIFTING,Mumbai,73,M,Other,Other Crime,19,Yes,2
SEXUAL ASSAULT,Ludhiana,12,M,Explosives,Violent Crime,7,No,9
KIDNAPPING,Lucknow,53,M,Blunt Object,Other Crime,11,Yes,9
ASSAULT,Bhopal,30,X,Poison,Violent Crime,1,No,8
ARSON,Delhi,46,F,Explosives,Fire Accident,14,Yes,9
VANDALISM,Kolkata,38,F,Firearm,Other Crime,19,Yes,3
SHOPLIFTING,Chennai,51,F,Firearm,Other Crime,10,No,2
FIREARM OFFENSE,Hyderabad,53,F,Poison,Fire Accident,9,Yes,8
EXTORTION,Agra,33,F,Firearm,Other Crime,16,No,7
PUBLIC INTOXICATION,Ahmedabad,33,X,Other,Other Crime,14,No,1
DOMESTIC VIOLENCE,Nagpur,71,X,Knife,Violent Crime,17,Yes,8
PUBLIC INTOXICATION,Mumbai,39,X,Firearm,Other Crime,19,Yes,1
DOMESTIC VIOLENCE,Agra,77,X,Blunt Object,Violent Crime,3,No,8
ILLEGAL POSSESSION,Bangalore,38,F,Knife,Other Crime,7,Yes,5
VEHICLE - STOLEN,Surat,59,X,Knife,Violent Crime,3,Yes,5
ILLEGAL POSSESSION,Chennai,72,M,Firearm,Other Crime,6,Yes,5
CYBERCRIME,Indore,50,M,Other,Other Crime,8,Yes,5
PUBLIC INTOXICATION,Mumbai,47,F,Unknown,Other Crime,15,Yes,1
BURGLARY,Mumbai,61,M,Other,Other Crime,8,Yes,6
CYBERCRIME,Srinagar,39,M,Poison,Other Crime,19,Yes,5
FIREARM OFFENSE,Bangalore,50,M,Unknown,Fire Accident,11,No,8
DOMESTIC VIOLENCE,Indore,65,X,Blunt Object,Violent Crime,7,No,8
PUBLIC INTOXICATION,Mumbai,18,X,Blunt Object,Other Crime,12,Yes,1
BURGLARY,Delhi,78,M,Knife,Other Crime,11,No,6
EXTORTION,Patna,77,F,Firearm,Other Crime,1,No,7
SHOPLIFTING,Agra,22,X,Unknown,Other Crime,17,Yes,2
VEHICLE - STOLEN,Ghaziabad,11,X,Unknown,Violent Crime,9,No,5
PUBLIC INTOXICATION,Delhi,64,X,Firearm,Other Crime,10,Yes,1
IDENTITY THEFT,Lucknow,12,F,Explosives,Violent Crime,18,No,4
CYBERCRIME,Mumbai,39,F,Poison,Other Crime,10,Yes,5
FRAUD,Delhi,14,X,Unknown,Other Crime,15,Yes,4
EXTORTION,Bangalore,60,M,Unknown,Other Crime,9,Yes,7
SHOPLIFTING,Mumbai,53,X,Firearm,Other Crime,14,Yes,2
ASSAULT,Varanasi,11,M,Other,Violent Crime,18,Yes,8
ASSAULT,Ahmedabad,68,F,Unknown,Violent Crime,4,No,8
EXTORTION,Chennai,26,X,Other,Other Crime,4,Yes,7
KIDNAPPING,Kanpur,64,F,Knife,Other Crime,9,No,9
HOMICIDE,Chennai,60,X,Unknown,Other Crime,16,No,10
CYBERCRIME,Varanasi,63,F,Firearm,Other Crime,14,No,5
EXTORTION,Delhi,42,M,Blunt Object,Other Crime,11,Yes,7
SHOPLIFTING,Bangalore,36,F,Other,Other Crime,7,Yes,2
CYBERCRIME,Ahmedabad,45,F,Firearm,Other Crime,7,No,5
SHOPLIFTING,Delhi,62,X,Other,Other Crime,15,No,2
COUNTERFEITING,Mumbai,33,M,Blunt Object,Other Crime,15,No,4
SEXUAL ASSAULT,Mumbai,25,X,Explosives,Violent Crime,10,No,9
ASSAULT,Pune,26,X,Other,Violent Crime,8,No,8
EXTORTION,Faridabad,76,X,Unknown,Other Crime,19,Yes,7
ARSON,Kolkata,77,M,Knife,Fire Accident,12,Yes,9
ROBBERY,Delhi,57,X,Poison,Violent Crime,17,No,8
COUNTERFEITING,Nagpur,69,F,Unknown,Other Crime,16,Yes,4
TRAFFIC VIOLATION,Indore,43,M,Knife,Traffic Fatality,1,No,2
FRAUD,Mumbai,79,M,Unknown,Other Crime,14,No,4
DOMESTIC VIOLENCE,Hyderabad,49,M,Knife,Violent Crime,1,No,8
VEHICLE - STOLEN,Delhi,46,X,Knife,Violent Crime,7,No,5
TRAFFIC VIOLATION,Kolkata,62,X,Explosives,Traffic Fatality,17,Yes,2
ILLEGAL POSSESSION,Chennai,55,F,Blunt Object,Other Crime,4,No,5
ARSON,Ahmedabad,11,M,Knife,Fire Accident,11,Yes,9
KIDNAPPING,Chennai,26,X,Explosives,Other Crime,4,No,9
COUNTERFEITING,Mumbai,32,X,Poison,Other Crime,17,Yes,4
ARSON,Mumbai,11,M,Poison,Fire Accident,5,No,9
EXTORTION,Kanpur,43,M,Blunt Object,Other Crime,9,Yes,7
PUBLIC INTOXICATION,Delhi,56,X,Knife,Other Crime,8,Yes,1
BURGLARY,Pune,17,F,Other,Other Crime,12,No,6
KIDNAPPING,Mumbai,73,F,Other,Other Crime,14,No,9
SHOPLIFTING,Nagpur,41,X,Poison,Other Crime,13,Yes,2
SEXUAL ASSAULT,Ahmedabad,60,F,Blunt Object,Violent Crime,6,No,9
ILLEGAL POSSESSION,Kolkata,60,X,Other,Other Crime,7,No,5
ROBBERY,Hyderabad,53,M,Other,Violent Crime,8,No,8
VANDALISM,Nagpur,37,F,Blunt Object,Other Crime,17,Yes,3
TRAFFIC VIOLATION,Delhi,41,X,Other,Traffic Fatality,3,Yes,2
DOMESTIC VIOLENCE,Indore,71,F,Unknown,Violent Crime,3,Yes,8
ILLEGAL POSSESSION,Srinagar,57,M,Other,Other Crime,19,No,5
IDENTITY THEFT,Surat,44,M,Poison,Violent Crime,14,No,4
PUBLIC INTOXICATION,Mumbai,32,F,Unknown,Other Crime,2,No,1
SEXUAL ASSAULT,Bangalore,14,F,Knife,Violent Crime,8,Yes,9
COUNTERFEITING,Bangalore,19,M,Poison,Other Crime,4,Yes,4
IDENTITY THEFT,Bhopal,61,X,Firearm,Violent Crime,18,No,4
ILLEGAL POSSESSION,Agra,42,X,Poison,Other Crime,1,No,5
EXTORTION,Surat,24,M,Knife,Other Crime,17,Yes,7
SEXUAL ASSAULT,Meerut,45,F,Poison,Violent Crime,7,Yes,9
SEXUAL ASSAULT,Pune,32,X,Knife,Violent Crime,18,No,9
PUBLIC INTOXICATION,Thane,47,F,Poison,Other Crime,4,Yes,1
EXTORTION,Hyderabad,73,F,Firearm,Other Crime,19,No,7
VANDALISM,Mumbai,34,M,Unknown,Other Crime,18,No,3
BURGLARY,Mumbai,56,F,Other,Other Crime,12,No,6
BURGLARY,Delhi,20,F,Unknown,Other Crime,13,Yes,6
DOMESTIC VIOLENCE,Mumbai,71,X,Knife,Violent Crime,17,No,8
EXTORTION,Vasai,68,F,Poison,Other Crime,17,No,7
ILLEGAL POSSESSION,Kolkata,71,X,Firearm,Other Crime,11,No,5
EXTORTION,Delhi,36,M,Poison,Other Crime,13,No,7
SHOPLIFTING,Ahmedabad,64,X,Unknown,Other Crime,14,No,2
SEXUAL ASSAULT,Visakhapatnam,74,M,Blunt Object,Violent Crime,13,No,9
VANDALISM,Kolkata,29,X,Explosives,Other Crime,2,Yes,3
HOMICIDE,Hyderabad,17,M,Firearm,Other Crime,6,Yes,10
ARSON,Rajkot,12,F,Knife,Fire Accident,3,No,9
SEXUAL ASSAULT,Mumbai,25,M,Blunt Object,Violent Crime,19,Yes,9
SEXUAL ASSAULT,Vasai,36,X,Explosives,Violent Crime,14,No,9
COUNTERFEITING,Lucknow,24,M,Blunt Object,Other Crime,7,No,4
CYBERCRIME,Lucknow,55,F,Poison,Other Crime,16,Yes,5
DOMESTIC VIOLENCE,Bangalore,14,X,Blunt Object,Violent Crime,19,No,8
COUNTERFEITING,Agra,23,X,Knife,Other Crime,14,No,4
FIREARM OFFENSE,Delhi,38,F,Firearm,Fire Accident,7,Yes,8
HOMICIDE,Kanpur,40,M,Knife,Other Crime,8,No,10
VEHICLE - STOLEN,Nashik,29,X,Poison,Violent Crime,19,No,5
FIREARM OFFENSE,Kolkata,53,X,Blunt Object,Fire Accident,19,Yes,8
ILLEGAL POSSESSION,Chennai,28,X,Blunt Object,Other Crime,1,Yes,5
IDENTITY THEFT,Patna,25,X,Explosives,Violent Crime,1,Yes,4
FRAUD,Bhopal,69,F,Other,Other Crime,6,Yes,4
HOMICIDE,Srinagar,51,M,Blunt Object,Other Crime,4,No,10
IDENTITY THEFT,Bangalore,56,F,Blunt Object,Violent Crime,8,Yes,4
ROBBERY,Hyderabad,76,M,Explosives,Violent Crime,15,No,8
DOMESTIC VIOLENCE,Kanpur,71,X,Other,Violent Crime,15,Yes,8
COUNTERFEITING,Chennai,45,X,Other,Other Crime,2,Yes,4
CYBERCRIME,Mumbai,61,F,Explosives,Other Crime,2,Yes,5
CYBERCRIME,Hyderabad,29,M,Other,Other Crime,12,Yes,5
EXTORTION,Hyderabad,36,F,Other,Other Crime,15,No,7
ARSON,Chennai,69,X,Other,Fire Accident,12,Yes,9
HOMICIDE,Hyderabad,62,F,Explosives,Other Crime,5,No,10
KIDNAPPING,Kolkata,63,F,Firearm,Other Crime,9,Yes,9
DOMESTIC VIOLENCE,Bangalore,73,X,Knife,Violent Crime,6,No,8
FRAUD,Mumbai,39,X,Knife,Other Crime,16,No,4
ILLEGAL POSSESSION,Kolkata,57,M,Other,Other Crime,5,Yes,5
KIDNAPPING,Kanpur,22,F,Explosives,Other Crime,9,Yes,9
KIDNAPPING,Varanasi,30,X,Firearm,Other Crime,13,No,9
EXTORTION,Pune,69,F,Explosives,Other Crime,16,Yes,7
VANDALISM,Thane,14,F,Firearm,Other Crime,18,No,3
EXTORTION,Indore,55,X,Unknown,Other Crime,13,No,7
EXTORTION,Hyderabad,70,X,Knife,Other Crime,15,No,7
ROBBERY,Chennai,11,M,Poison,Violent Crime,3,Yes,8
VANDALISM,Delhi,70,X,Other,Other Crime,14,No,3
FIREARM OFFENSE,Chennai,47,F,Firearm,Fire Accident,13,No,8
FIREARM OFFENSE,Delhi,66,M,Knife,Fire Accident,19,No,8
CYBERCRIME,Agra,75,X,Explosives,Other Crime,5,No,5
TRAFFIC VIOLATION,Ghaziabad,75,F,Blunt Object,Traffic Fatality,7,Yes,2
CYBERCRIME,Hyderabad,16,F,Poison,Other Crime,13,No,5
FIREARM OFFENSE,Lucknow,66,F,Poison,Fire Accident,5,Yes,8
CYBERCRIME,Agra,28,M,Blunt Object,Other Crime,12,Yes,5
COUNTERFEITING,Delhi,76,X,Other,Other Crime,6,No,4
FRAUD,Chennai,51,X,Unknown,Other Crime,18,Yes,4
SEXUAL ASSAULT,Hyderabad,25,F,Poison,Violent Crime,4,Yes,9
FRAUD,Chennai,32,M,Unknown,Other Crime,9,Yes,4
ILLEGAL POSSESSION,Surat,55,M,Other,Other Crime,12,Yes,5
VEHICLE - STOLEN,Jaipur,56,X,Poison,Violent Crime,5,Yes,5
KIDNAPPING,Delhi,22,X,Explosives,Other Crime,12,No,9
SHOPLIFTING,Delhi,74,F,Blunt Object,Other Crime,6,Yes,2
HOMICIDE,Jaipur,53,X,Other,Other Crime,19,No,10
BURGLARY,Bangalore,60,M,Explosives,Other Crime,15,Yes,6
ROBBERY,Bhopal,56,M,Poison,Violent Crime,4,Yes,8
KIDNAPPING,Mumbai,36,X,Knife,Other Crime,2,No,9
CYBERCRIME,Kanpur,68,M,Unknown,Other Crime,8,No,5
DOMESTIC VIOLENCE,Mumbai,27,F,Poison,Violent Crime,15,No,8
COUNTERFEITING,Nagpur,36,F,Other,Other Crime,10,No,4
ILLEGAL POSSESSION,Bangalore,70,M,Explosives,Other Crime,9,Yes,5
SHOPLIFTING,Bangalore,67,M,Unknown,Other Crime,17,Yes,2
ROBBERY,Mumbai,39,F,Knife,Violent Crime,12,No,8
ASSAULT,Jaipur,62,F,Explosives,Violent Crime,13,Yes,8
IDENTITY THEFT,Jaipur,56,X,Explosives,Violent Crime,8,Yes,4
SHOPLIFTING,Lucknow,37,M,Knife,Other Crime,12,Yes,2
KIDNAPPING,Chennai,67,X,Blunt Object,Other Crime,18,Yes,9
VANDALISM,Ghaziabad,66,M,Other,Other Crime,1,No,3
FIREARM OFFENSE,Ludhiana,56,X,Other,Fire Accident,15,Yes,8
CYBERCRIME,Bangalore,52,F,Blunt Object,Other Crime,7,No,5
SEXUAL ASSAULT,Ahmedabad,30,F,Poison,Violent Crime,6,Yes,9
IDENTITY THEFT,Delhi,46,F,Poison,Violent Crime,16,Yes,4
IDENTITY THEFT,Chennai,42,F,Blunt Object,Violent Crime,11,No,4
ROBBERY,Pune,63,X,Blunt Object,Violent Crime,10,Yes,8
ARSON,Mumbai,72,F,Blunt Object,Fire Accident,1,No,9
HOMICIDE,Mumbai,10,F,Explosives,Other Crime,16,No,10
EXTORTION,Chennai,76,F,Blunt Object,Other Crime,16,No,7
ROBBERY,Kanpur,44,M,Firearm,Violent Crime,14,No,8
CYBERCRIME,Mumbai,79,F,Blunt Object,Other Crime,7,No,5
EXTORTION,Rajkot,13,X,Poison,Other Crime,13,No,7
KIDNAPPING,Varanasi,27,M,Other,Other Crime,18,No,9
FIREARM OFFENSE,Kanpur,53,M,Poison,Fire Accident,5,Yes,8
FRAUD,Bangalore,31,X,Firearm,Other Crime,18,Yes,4
IDENTITY THEFT,Bangalore,54,X,Explosives,Violent Crime,2,No,4
DOMESTIC VIOLENCE,Pune,31,X,Knife,Violent Crime,2,No,8
HOMICIDE,Pune,16,M,Unknown,Other Crime,15,No,10
IDENTITY THEFT,Jaipur,49,X,Blunt Object,Violent Crime,6,No,4
ARSON,Meerut,48,M,Unknown,Fire Accident,15,Yes,9
SHOPLIFTING,Pune,18,M,Firearm,Other Crime,4,Yes,2
SHOPLIFTING,Ludhiana,38,M,Blunt Object,Other Crime,1,Yes,2
BURGLARY,Mumbai,74,X,Blunt Object,Other Crime,1,Yes,6
HOMICIDE,Delhi,13,M,Explosives,Other Crime,7,Yes,10
SEXUAL ASSAULT,Lucknow,54,F,Explosives,Violent Crime,2,Yes,9
FIREARM OFFENSE,Jaipur,51,F,Poison,Fire Accident,6,No,8
DRUG OFFENSE,Ghaziabad,67,M,Explosives,Other Crime,16,Yes,6
BURGLARY,Nagpur,74,X,Explosives,Other Crime,13,Yes,6
HOMICIDE,Thane,25,F,Other,Other Crime,14,Yes,10
HOMICIDE,Srinagar,73,F,Firearm,Other Crime,14,No,10
BURGLARY,Ahmedabad,48,M,Unknown,Other Crime,16,Yes,6
IDENTITY THEFT,Chennai,47,F,Poison,Violent Crime,10,No,4
KIDNAPPING,Delhi,46,F,Poison,Other Crime,6,No,9
ASSAULT,Lucknow,25,X,Blunt Object,Violent Crime,6,Yes,8
ROBBERY,Mumbai,16,X,Explosives,Violent Crime,15,No,8
VEHICLE - STOLEN,Bangalore,78,F,Explosives,Violent Crime,4,Yes,5
FIREARM OFFENSE,Ahmedabad,21,X,Explosives,Fire Accident,14,No,8
DRUG OFFENSE,Chennai,14,F,Other,Other Crime,16,No,6
ROBBERY,Ludhiana,26,F,Other,Violent Crime,2,No,8
ARSON,Jaipur,45,F,Blunt Object,Fire Accident,12,No,9
DOMESTIC VIOLENCE,Delhi,15,M,Other,Violent Crime,5,Yes,8
IDENTITY THEFT,Delhi,39,M,Firearm,Violent Crime,14,No,4
SEXUAL ASSAULT,Ghaziabad,44,X,Knife,Violent Crime,16,No,9
ILLEGAL POSSESSION,Kolkata,60,X,Blunt Object,Other Crime,18,No,5
ARSON,Delhi,76,F,Firearm,Fire Accident,1,Yes,9
PUBLIC INTOXICATION,Mumbai,48,M,Poison,Other Crime,9,No,1
FIREARM OFFENSE,Delhi,57,X,Poison,Fire Accident,1,No,8
TRAFFIC VIOLATION,Vasai,48,M,Knife,Traffic Fatality,16,No,2
DRUG OFFENSE,Jaipur,68,M,Other,Other Crime,13,Yes,6
ROBBERY,Hyderabad,37,M,Firearm,Violent Crime,17,Yes,8
ARSON,Mumbai,71,F,Firearm,Fire Accident,8,No,9
DOMESTIC VIOLENCE,Pune,22,M,Blunt Object,Violent Crime,5,Yes,8
ILLEGAL POSSESSION,Bangalore,72,X,Poison,Other Crime,9,No,5
SEXUAL ASSAULT,Mumbai,64,F,Firearm,Violent Crime,13,Yes,9
VANDALISM,Mumbai,38,F,Knife,Other Crime,8,Yes,3
ROBBERY,Kolkata,15,F,Explosives,Violent Crime,14,Yes,8
TRAFFIC VIOLATION,Patna,29,M,Firearm,Traffic Fatality,17,Yes,2
VEHICLE - STOLEN,Pune,34,X,Poison,Violent Crime,4,No,5
ARSON,Lucknow,19,X,Explosives,Fire Accident,17,No,9
ROBBERY,Bangalore,38,X,Blunt Object,Violent Crime,16,Yes,8
EXTORTION,Delhi,56,F,Knife,Other Crime,7,Yes,7
DOMESTIC VIOLENCE,Kolkata,11,X,Poison,Violent Crime,9,Yes,8
HOMICIDE,Patna,62,X,Unknown,Other Crime,5,Yes,10
SEXUAL ASSAULT,Mumbai,27,M,Explosives,Violent Crime,4,No,9
KIDNAPPING,Nashik,70,M,Firearm,Other Crime,6,Yes,9
KIDNAPPING,Kolkata,66,F,Unknown,Other Crime,17,Yes,9
BURGLARY,Kolkata,28,M,Unknown,Other Crime,15,No,6
HOMICIDE,Delhi,60,M,Knife,Other Crime,3,No,10
TRAFFIC VIOLATION,Lucknow,44,F,Firearm,Traffic Fatality,19,No,2
SEXUAL ASSAULT,Kolkata,16,F,Knife,Violent Crime,11,Yes,9
CYBERCRIME,Mumbai,76,M,Explosives,Other Crime,17,Yes,5
SHOPLIFTING,Lucknow,36,F,Explosives,Other Crime,5,Yes,2
SEXUAL ASSAULT,Surat,29,F,Knife,Violent Crime,17,Yes,9
VANDALISM,Chennai,37,F,Other,Other Crime,2,Yes,3
KIDNAPPING,Lucknow,17,X,Other,Other Crime,12,No,9
SEXUAL ASSAULT,Chennai,43,F,Poison,Violent Crime,13,No,9
BURGLARY,Delhi,74,M,Explosives,Other Crime,1,No,6
SHOPLIFTING,Pune,28,F,Explosives,Other Crime,9,Yes,2
ARSON,Bhopal,17,M,Poison,Fire Accident,2,No,9
VEHICLE - STOLEN,Mumbai,31,M,Poison,Violent Crime,1,No,5
BURGLARY,Mumbai,25,X,Firearm,Other Crime,10,No,6
VANDALISM,Delhi,14,M,Blunt Object,Other Crime,6,Yes,3
DRUG OFFENSE,Delhi,19,F,Explosives,Other Crime,3,No,6
IDENTITY THEFT,Ahmedabad,45,X,Unknown,Violent Crime,6,No,4
VANDALISM,Kolkata,40,X,Explosives,Other Crime,5,No,3
ROBBERY,Delhi,51,X,Unknown,Violent Crime,19,Yes,8
ASSAULT,Delhi,76,M,Blunt Object,Violent Crime,8,Yes,8
HOMICIDE,Bhopal,36,X,Poison,Other Crime,9,No,10
SHOPLIFTING,Delhi,19,M,Poison,Other Crime,12,Yes,2
ASSAULT,Nashik,42,X,Firearm,Violent Crime,19,No,8
DRUG OFFENSE,Kolkata,19,M,Unknown,Other Crime,14,Yes,6
FRAUD,Ghaziabad,12,X,Firearm,Other Crime,19,Yes,4
DOMESTIC VIOLENCE,Mumbai,47,M,Unknown,Violent Crime,6,Yes,8
IDENTITY THEFT,Delhi,47,F,Unknown,Violent Crime,5,No,4
TRAFFIC VIOLATION,Kolkata,10,M,Blunt Object,Traffic Fatality,8,Yes,2
BURGLARY,Bangalore,11,F,Explosives,Other Crime,17,Yes,6
ARSON,Mumbai,54,F,Unknown,Fire Accident,1,No,9
ROBBERY,Ludhiana,50,M,Blunt Object,Violent Crime,15,Yes,8
ILLEGAL POSSESSION,Ghaziabad,43,F,Knife,Other Crime,13,No,5
VEHICLE - STOLEN,Hyderabad,13,X,Unknown,Violent Crime,14,Yes,5
PUBLIC INTOXICATION,Bangalore,69,M,Other,Other Crime,7,Yes,1
ILLEGAL POSSESSION,Bangalore,64,M,Poison,Other Crime,1,Yes,5
FIREARM OFFENSE,Kanpur,12,F,Explosives,Fire Accident,4,Yes,8
BURGLARY,Ghaziabad,70,X,Poison,Other Crime,8,Yes,6
DOMESTIC VIOLENCE,Thane,21,F,Explosives,Violent Crime,11,No,8
HOMICIDE,Mumbai,13,F,Poison,Other Crime,1,No,10
DRUG OFFENSE,Bhopal,65,X,Explosives,Other Crime,19,Yes,6
DOMESTIC VIOLENCE,Delhi,52,F,Unknown,Violent Crime,4,No,8
HOMICIDE,Jaipur,16,F,Knife,Other Crime,5,Yes,10
ROBBERY,Delhi,39,F,Unknown,Violent Crime,17,No,8
EXTORTION,Mumbai,78,X,Poison,Other Crime,4,No,7
SEXUAL ASSAULT,Meerut,58,M,Knife,Violent Crime,4,Yes,9
TRAFFIC VIOLATION,Surat,79,X,Poison,Traffic Fatality,4,Yes,2
